high_school,romanian_grade,county,specialisation,profile_exam_name,profile_exam_grade,optional_exam_name,optional_exam_grade,passed
" LICEUL TEORETIC ""PAVEL DAN"" CAMPIA TURZII",10.0, CJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""GARABET IBRAILEANU"", IASI",10.0, IS, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""DINICU GOLESCU"" CAMPULUNG",10.0, AG, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""DAVID PRODAN"" CUGIR",10.0, AB, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""EMANUIL GOJDU"" ORADEA",10.0, BH, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" LICEUL TEORETIC ""NIKOLAUS LENAU"" MUN.TIMISOARA",10.0, TM, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""ION C. BRATIANU"" PITESTI",10.0, AG, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""ION C. BRATIANU"" PITESTI",10.0, AG, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""SFANTUL SAVA""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""B. P. HASDEU"" MUNICIPIUL BUZAU",10.0, BZ, STIINTE SOCIALE, ISTORIE,10.0, FILOSOFIE,10.0,True
 LICEUL TEHNOLOGIC ORAS JIMBOLIA,10.0, TM, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, BIOLOGIE VEGETALA SI ANIMALA,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"" TURDA",10.0, CJ, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" LICEUL DE ARTE ""BALASA DOAMNA"" TARGOVISTE",10.0, DB," ARHITECTURA, ARTE AMBIENTALE SI DESIGN", ISTORIE,10.0, GEOGRAFIE,10.0,True
" LICEUL TEORETIC ""ONISIFOR GHIBU"" CLUJ-NAPOCA",10.0, CJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""AL. I. CUZA"" FOCSANI",10.0, VN, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL DE INFORMATICA MATEI BASARAB, MUN. RM. VALCEA",10.0, VL, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, FIZICA TEO,10.0,True
" LICEUL TEORETIC ""MIHAI EMINESCU"" CALARASI",10.0, CL, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""GIB MIHAESCU"" DRAGASANI",10.0, VL, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""COSTACHE NEGRUZZI"", IASI",10.0, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""COSTACHE NEGRUZZI"", IASI",10.0, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""MIHAI EMINESCU""",10.0, B, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" LICEUL TEORETIC ""PAVEL DAN"" CAMPIA TURZII",10.0, CJ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",10.0, B, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""O.GOGA"" SIBIU",10.0, SB, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""UNIREA"" FOCSANI",10.0, VN, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""GEORGE COSBUC"" NASAUD",10.0, BN, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" LICEUL ""REGINA MARIA"" DOROHOI",10.0, BT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, FIZICA TEO,10.0,True
" LICEUL TEORETIC ""SPIRU HARET"" MOINESTI",10.0, BC, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE MUNTEANU MURGOCI"" BRAILA",10.0, BR, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""CANTEMIR VODA""",10.0, B, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, INFORMATICA SN C/C++,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",10.0, B, STIINTE SOCIALE, ISTORIE,10.0, ECONOMIE,10.0,True
" COLEGIUL NATIONAL ""VASILE ALECSANDRI"", LOCALITATEA GALATI",10.0, GL, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""IOSIF VULCAN"" ORADEA",10.0, BH, INVATATOR - EDUCATOARE, MATEMATICA PED,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" LICEUL ""REGINA MARIA"" DOROHOI",10.0, BT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""MIHAI EMINESCU"" SUCEAVA",10.0, SV, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""UNIREA"" FOCSANI",10.0, VN, FILOLOGIE, ISTORIE,10.0, ECONOMIE,10.0,True
" COLEGIUL NATIONAL ""A.T.LAURIAN"" BOTOSANI",10.0, BT, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" LICEUL TEORETIC ""DAN BARBILIAN"" CAMPULUNG",10.0, AG, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""MIHAI EMINESCU"" PETROSANI",10.0, HD, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL ECONOMIC ""NICOLAE TITULESCU"" BAIA MARE",10.0, MM, TEHNICIAN IN ACTIVITATI ECONOMICE, MATEMATICA TEHN,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" LICEUL TEORETIC ""IULIA ZAMFIRESCU"" MIOVENI",10.0, AG, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL PEDAGOGIC ""STEFAN CEL MARE"" BACAU",10.0, BC, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""IANCU DE HUNEDOARA"" HUNEDOARA",10.0, HD, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""EMIL BOTTA"" ADJUD",10.0, VN, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""UNIREA"" FOCSANI",10.0, VN, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE SINCAI"" BAIA MARE",10.0, MM, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE TITEICA""",10.0, MH, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""ION C. BRATIANU"" PITESTI",10.0, AG, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""UNIREA"" FOCSANI",10.0, VN, FILOLOGIE, ISTORIE,10.0, ECONOMIE,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
 LICEUL TEOLOGIC BAPTIST RESITA,10.0, CS, TEOLOGIE BAPTISTA, ISTORIE,10.0, GEOGRAFIE,10.0,True
" LICEUL TEOLOGIC ORTODOX ""SFINTII IMPARATI CONSTANTIN SI ELENA"", MUNICIPIUL PIATRA-NEAMT",10.0, NT, TEOLOGIE ORTODOXA, ISTORIE,10.0, FILOSOFIE,10.0,True
" COLEGIUL NATIONAL ""ION LUCA CARAGIALE"", MUNICIPIUL PLOIESTI",10.0, PH, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""B. P. HASDEU"" MUNICIPIUL BUZAU",10.0, BZ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
 LICEUL TEORETIC INTERNATIONAL DE INFORMATICA CONSTANTA,10.0, CT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""LUCIAN BLAGA"" SEBES",10.0, AB, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""PETRU RARES"" BECLEAN",10.0, BN, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",10.0, B, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
 LICEUL TEORETIC INTERNATIONAL DE INFORMATICA BUCURESTI,10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""B. P. HASDEU"" MUNICIPIUL BUZAU",10.0, BZ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"" SLOBOZIA",10.0, IL, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL, IASI",10.0, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""FERDINAND I"" BACAU",10.0, BC, STIINTE SOCIALE, ISTORIE,10.0, PSIHOLOGIE,10.0,True
" COLEGIUL NATIONAL ""ALEXANDRU PAPIU ILARIAN"" TIRGU MURES",10.0, MS, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""AL. I. CUZA"" FOCSANI",10.0, VN, STIINTE SOCIALE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" LICEUL TEORETIC ""MIHAI VITEAZUL"" CARACAL",10.0, OT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""AL. I. CUZA"" FOCSANI",10.0, VN, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" LICEUL TEORETIC ""MIHAIL KOGALNICEANU"", MUN. VASLUI",10.0, VS, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" LICEUL TEORETIC ""AXENTE SEVER"" MEDIAS",10.0, SB, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"", MUNICIPIUL PLOIESTI",10.0, PH, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""B. P. HASDEU"" MUNICIPIUL BUZAU",10.0, BZ, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""FERDINAND I"" BACAU",10.0, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""FRATII BUZESTI"" CRAIOVA",10.0, DJ, FILOLOGIE, ISTORIE,10.0, ECONOMIE,10.0,True
" COLEGIUL TEHNIC ""ALEXANDRU ROMAN"" ALESD",10.0, BH, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL Ă˘â‚¬ĹľMIHAI EMINESCU"" SATU MARE",10.0, SM, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI PASCAL,10.0,True
" COLEGIUL NATIONAL ""ELENA CUZA"" CRAIOVA",10.0, DJ, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""B. P. HASDEU"" MUNICIPIUL BUZAU",10.0, BZ, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" LICEUL TEORETIC ""DAN BARBILIAN"" CAMPULUNG",10.0, AG, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""LIVIU REBREANU"" BISTRITA",10.0, BN, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""DIMITRIE CANTEMIR"" ONESTI",10.0, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",10.0, B, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""CONSTANTIN CARABELLA"" TARGOVISTE",10.0, DB, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""EMIL RACOVITA"", IASI",10.0, IS, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE LAZAR""",10.0, B, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL DE INFORMATICA ""TUDOR VIANU""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" LICEUL TEORETIC ""NEAGOE BASARAB"" OLTENITA",10.0, CL, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" LICEUL ""REGINA MARIA"" DOROHOI",10.0, BT, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""ZINCA GOLESCU"" PITESTI",10.0, AG, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL BILINGV ""GEORGE COSBUC""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL TEHNIC DE CAI FERATE ""UNIREA"", PASCANI",10.0, IS, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""PETRU RARES"" SUCEAVA",10.0, SV, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""GHEORGHE SINCAI""",10.0, B, STIINTE ALE NATURII, MATEMATICA ST-NAT,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL, IASI",10.0, IS, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""PETRU RARES"", MUNICIPIUL PIATRA-NEAMT",10.0, NT, STIINTE SOCIALE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""GRIGORE MOISIL"" ONESTI",10.0, BC, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""SFANTUL SAVA""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""MIHAI EMINESCU"" MUNICIPIUL BUZAU",10.0, BZ, FILOLOGIE, ISTORIE,10.0," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""NICOLAE IORGA"", ORASUL VALENII DE MUNTE",10.0, PH, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL ""ROMAN VODA"", MUNICIPIUL ROMAN",10.0, NT, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.95,True
" COLEGIUL NATIONAL ""PETRU RARES"" SUCEAVA",10.0, SV, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.95, FIZICA TEO,10.0,True
" COLEGIUL NATIONAL DE INFORMATICA ""TRAIAN LALESCU"" HUNEDOARA",10.0, HD, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,10.0, INFORMATICA MI C/C++,9.95,True
" COLEGIUL NATIONAL ""SFANTUL SAVA""",10.0, B, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.95, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
" COLEGIUL NATIONAL ""VASILE ALECSANDRI"", LOCALITATEA GALATI",10.0, GL, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.95, INFORMATICA MI C/C++,10.0,True
" LICEUL TEORETIC ""MIHAI VITEAZUL"" CARACAL",9.95, OT, FILOLOGIE, ISTORIE,10.0, GEOGRAFIE,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL"" SLOBOZIA",10.0, IL, STIINTE ALE NATURII, MATEMATICA ST-NAT,9.95," ANATOMIE SI FIZIOLOGIE UMANA, GENETICA SI ECOLOGIE UMANA",10.0,True
" COLEGIUL NATIONAL ""ION LUCA CARAGIALE"", MUNICIPIUL PLOIESTI",10.0, PH, FILOLOGIE, ISTORIE,9.95," LOGICA, ARGUMENTARE SI COMUNICARE",10.0,True
" COLEGIUL NATIONAL ""SPIRU HARET"" TG-JIU",10.0, GJ, FILOLOGIE, ISTORIE,9.95, SOCIOLOGIE,10.0,True
" COLEGIUL NATIONAL ""MIHAI VITEAZUL""",10.0, B, MATEMATICA-INFORMATICA, MATEMATICA MATE-INFO,9.9, CHIMIE ORGANICA TEO NIVEL I/II,10.0,True
